created_at,conversation_id,in_reply_to_user_id,text,id,edit_history_tweet_ids,author_id,author_name,label,score
2014-03-17T00:44:53.000Z,444783805509824512,19106719,“@MAS: [#MASalert] Malaysia Airli' update on MH370 contained in media statement by Malaysia's Prime Minister today - http://t.co/S6sGGfnDk3”,445360084978503680,['445360084978503680'],500283344,dan___os,NEU,0.9804145097732544
2014-03-16T15:15:56.000Z,444783805509824512,19106719,@MAS What did you do after you lost the signal of mh370? The first stepps after you know the ACARS signal switched off?,445216906480742400,['445216906480742400'],168099327,drive_and_style,NEG,0.5999738574028015
2014-03-16T09:51:05.000Z,444783805509824512,19106719,"RT @MAS: ""the importance of validating new information before it is released into the public domain is paramount."" http://t.co/3OywCKJeII",445135153489129474,['445135153489129474'],249485643,inessukamakan,NEU,0.9661022424697876
2014-03-16T06:22:16.000Z,444783805509824512,19106719,Hijacked ?!? RT “@MAS: [#MASalert] MAS updte on MH370 contained in media statement by Mlysia's PM today - http://t.co/VIqZGBBhMy”,445082602202857473,['445082602202857473'],121986280,IpeyBamboo,NEG,0.6117436289787292
2014-03-16T05:32:17.000Z,444783805509824512,19106719,@MAS I hope the plane has landed somewhere and everyone is alive.,445070025376817152,['445070025376817152'],93839918,surferbabes,NEU,0.7538882493972778
2014-03-15T23:18:12.000Z,444783805509824512,19106719,@mas Facebook LARICCIA NELSON LINKS SHARED INFO PROFILE EDU AND MORE PAST DISASTERS MONTHS AGO!MH OG/OX!,444975882185490432,['444975882185490432'],223171129,nelsonlariccia,NEG,0.957146942615509
2014-03-15T21:21:55.000Z,444783805509824512,19106719,ICYMI: PRESS RELEASE FROM @MAS re #MH370 and to statements made by Malaysia PM http://t.co/xksOQl2pHT,444946620061188096,['444946620061188096'],864233112,tomkorocz,NEU,0.9812263250350952
2014-03-15T19:24:51.000Z,444783805509824512,19106719,@MAS @jacklinshi OMG S T O P,444917160398581761,['444917160398581761'],93902931,clipka_,NEG,0.7863863110542297
2014-03-15T19:17:30.000Z,444783805509824512,19106719,@MAS Could flight recorder of missing flight #MH370 have fallen into the Mariana Trench if the flight had that range? http://t.co/gBmixlQrWC,444915309510938624,['444915309510938624'],87575779,paulwtech,NEU,0.9409613013267517
2014-03-15T18:33:12.000Z,444783805509824512,19106719,@MAS fuck!马国故意隐瞒飞机被军方击落的真相是吧?,444904162245894144,['444904162245894144'],2391428545,tomoleeyu,NEG,0.98490971326828
2014-03-15T15:21:13.000Z,444783805509824512,19106719,@MAS What the fuck are you doing? You fooled the world!!! Why don't you tell the truth at the very beginning!!!,444855845788979200,['444855845788979200'],1249084808,lalawoo_chen,NEG,0.9854171872138977
2014-03-15T12:57:18.000Z,444783805509824512,19106719,@mas please jangan cuma fokus melakukan pencarian di laut saja tapi di daratan juga,444819629966643200,['444819629966643200'],126795458,RedhaOktora,NEU,0.7052476406097412
2014-03-15T11:40:17.000Z,444783805509824512,19106719,@MAS mid air collision,444800246103957505,['444800246103957505'],2331954695,TameraF78081788,NEU,0.5772358179092407
2014-03-15T10:59:37.000Z,444783805509824512,19106719,@MAS all the best!,444790014782607360,['444790014782607360'],2378344916,peach_petunia,POS,0.9916479587554932
2014-03-15T10:55:40.000Z,444783805509824512,19106719,@MAS U knew exactly what happened fr day one.,444789020527034368,['444789020527034368'],81849649,MadsOnly,NEU,0.798335611820221
2014-03-15T10:39:27.000Z,444783805509824512,19106719,@MAS Thank U for Providing the Full Passenger Manifest! Hope and Prey MH370 is found as soon as Possible .#MH370MalaysianAirlines,444784937787727872,['444784937787727872'],2311899500,kevin24peters,POS,0.9189920425415039
2014-03-15T10:37:56.000Z,444783805509824512,19106719,@MAS,444784555828867072,['444784555828867072'],158240846,yoses61,NEU,0.9518000483512878
