id,created_at,in_reply_to_user_id,edit_history_tweet_ids,text,conversation_id,author_id,author_name,label,score
442174272555851776,2014-03-08T05:45:36.000Z,19106719,['442174272555851776'],@MAS,441407837411868672,487289823,LuisHDz0515,NEU,0.9518000483512878
441773277082423296,2014-03-07T03:12:11.000Z,19106719,['441773277082423296'],"@MAS hi sir, may i know must i hv the passport number to book the flight to taiwan? Tq.",441407837411868672,138644314,funfunstacy,NEU,0.9714438319206238
441481370360369152,2014-03-06T07:52:15.000Z,19106719,['441481370360369152'],@MAS Tried to book flght on yr website said my card was declined twice I booked later with agent. But you've tkn 2 payments from my account,441407837411868672,20057038,Hallmork,NEG,0.8460673689842224
441439422181941248,2014-03-06T05:05:34.000Z,19106719,['441439422181941248'],@MAS false,441407837411868672,760814954,Safri1977,NEG,0.8832205533981323
441420713044365313,2014-03-06T03:51:13.000Z,19106719,['441420713044365313'],@MAS false,441407837411868672,2229946639,QrinceL,NEG,0.8832205533981323
441415445321502720,2014-03-06T03:30:17.000Z,19106719,['441415445321502720'],@MAS true,441407837411868672,271751435,JelitaAisya,NEU,0.9433981776237488
441413474220924928,2014-03-06T03:22:27.000Z,19106719,['441413474220924928'],@MAS True.,441407837411868672,839448438,Iz_Azman,NEU,0.9772342443466187
441412620122202112,2014-03-06T03:19:04.000Z,19106719,['441412620122202112'],@MAS False...it was 1973 Malaysia introduced Malaysia Airline Limited(MAL),441407837411868672,159687444,uncleawang,NEU,0.8961268663406372
441408313579016192,2014-03-06T03:01:57.000Z,19106719,['441408313579016192'],@MAS malaysian airways limited FROM Malayan Airways Limited,441407837411868672,31592791,mutalibs,NEU,0.9825483560562134
441408263804837888,2014-03-06T03:01:45.000Z,19106719,['441408263804837888'],@MAS true,441407837411868672,278341405,kokowman,NEU,0.9433981776237488
441408092421357569,2014-03-06T03:01:04.000Z,19106719,['441408092421357569'],@MAS False,441407837411868672,41553497,sayaEM,NEG,0.8224747180938721
441407958442729473,2014-03-06T03:00:32.000Z,19106719,['441407958442729473'],@MAS false!,441407837411868672,31592791,mutalibs,NEG,0.9230300784111023
